CORUMBA (A724);
Data;Hora (UTC);Temp. Ins. (C);Temp. Max. (C);Temp. Min. (C);Umi. Ins. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Ins. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Ins. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Raj. Vento (m/s);Radiacao (KJ/m²);Chuva (mm);
01/01/2020;0100;26,8;27,8;26,7;81,0;84,0;74,0;23,3;23,8;22,6;996,1;996,1;995,4;0,0;315,0;0,0;;0,0;
01/01/2020;0200;25,8;27,1;25,8;87,0;87,0;81,0;23,4;23,8;22,9;996,8;996,8;996,1;0,0;27,0;0,0;;0,0;
01/01/2020;0300;25,5;25,8;25,5;88,0;88,0;87,0;23,4;23,5;23,2;996,1;996,8;996,1;0,0;1,0;0,0;;0,0;
01/01/2020;0400;25,2;25,6;25,2;89,0;89,0;88,0;23,3;23,5;23,2;995,9;996,2;995,8;0,0;6,0;0,0;;0,0;
01/01/2020;0500;25,8;25,8;25,0;83,0;89,0;82,0;22,7;23,4;22,0;995,1;995,9;995,1;0,0;218,0;0,0;;0,0;
01/01/2020;0600;24,6;25,9;24,5;89,0;89,0;83,0;22,8;22,9;22,4;994,9;995,2;994,8;0,0;103,0;0,0;;0,0;
01/01/2020;0700;24,4;24,7;24,2;91,0;91,0;89,0;22,8;22,9;22,5;995,1;995,1;994,9;0,0;355,0;0,0;;0,0;
01/01/2020;0800;24,1;24,4;23,9;88,0;91,0;88,0;22,0;22,7;22,0;994,9;995,1;994,9;0,0;254,0;0,0;;0,0;
01/01/2020;0900;23,9;24,4;23,8;90,0;90,0;86,0;22,1;22,1;21,9;995,2;995,2;994,9;0,0;319,0;0,0;;0,0;
01/01/2020;1000;23,9;23,9;23,6;91,0;91,0;90,0;22,3;22,4;22,0;995,8;995,8;995,2;0,0;335,0;0,0;90,98;0,0;
01/01/2020;1100;25,8;25,8;23,9;84,0;91,0;84,0;22,9;23,4;22,4;996,0;996,0;995,8;0,0;11,0;0,0;684,46;0,0;
01/01/2020;1200;27,8;28,0;25,8;74,0;85,0;72,0;22,7;23,8;22,4;996,6;996,6;996,0;0,0;29,0;0,0;1587,88;0,0;
01/01/2020;1300;29,3;29,5;27,8;72,0;75,0;71,0;23,7;24,0;22,6;996,8;996,8;996,5;0,0;318,0;0,0;2403,24;0,0;
01/01/2020;1400;31,5;31,7;29,3;59,0;72,0;59,0;22,6;23,8;22,4;996,6;996,8;996,5;0,0;333,0;1,6;3060,95;0,0;
01/01/2020;1500;33,4;33,4;31,3;54,0;61,0;53,0;22,8;23,6;22,0;995,9;996,6;995,9;0,1;322,0;4,5;3434,70;0,0;
01/01/2020;1600;33,7;35,1;32,8;47,0;56,0;44,0;20,7;23,2;20,4;995,2;995,9;995,0;0,0;26,0;4,9;3720,33;0,0;
