CORUMBA (A724);
Data;Hora (UTC);Temp. Ins. (C);Temp. Max. (C);Temp. Min. (C);Umi. Ins. (%);Umi. Max. (%);Umi. Min. (%);Pto Orvalho Ins. (C);Pto Orvalho Max. (C);Pto Orvalho Min. (C);Pressao Ins. (hPa);Pressao Max. (hPa);Pressao Min. (hPa);Vel. Vento (m/s);Dir. Vento (m/s);Raj. Vento (m/s);Radiacao (KJ/m²);Chuva (mm);
01/01/2006;0100;;;;;;;;;;;;;;;;;;
01/01/2006;0200;;;;;;;;;;;;;;;;;;
01/01/2006;0300;;;;;;;;;;;;;;;;;;
01/01/2006;0400;;;;;;;;;;;;;;;;;;
01/01/2006;0500;;;;;;;;;;;;;;;;;;
01/01/2006;0600;;;;;;;;;;;;;;;;;;
01/01/2006;0700;;;;;;;;;;;;;;;;;;
01/01/2006;0800;;;;;;;;;;;;;;;;;;
01/01/2006;0900;;;;;;;;;;;;;;;;;;
01/01/2006;1000;;;;;;;;;;;;;;;;;;
01/01/2006;1100;;;;;;;;;;;;;;;;;;
01/01/2006;1200;;;;;;;;;;;;;;;;;;
01/01/2006;1300;;;;;;;;;;;;;;;;;;
01/01/2006;1400;;;;;;;;;;;;;;;;;;
01/01/2006;1500;;;;;;;;;;;;;;;;;;
01/01/2006;1600;;;;;;;;;;;;;;;;;;
01/01/2006;1700;;;;;;;;;;;;;;;;;;
01/01/2006;1800;;;;;;;;;;;;;;;;;;
01/01/2006;1900;;;;;;;;;;;;;;;;;;
01/01/2006;2000;;;;;;;;;;;;;;;;;;
01/01/2006;2100;;;;;;;;;;;;;;;;;;
01/01/2006;2200;;;;;;;;;;;;;;;;;;
01/01/2006;2300;;;;;;;;;;;;;;;;;;
02/01/2006;0000;;;;;;;;;;;;;;;;;;
02/01/2006;0100;;;;;;;;;;;;;;;;;;
02/01/2006;0200;;;;;;;;;;;;;;;;;;
02/01/2006;0300;;;;;;;;;;;;;;;;;;
02/01/2006;0400;;;;;;;;;;;;;;;;;;
02/01/2006;0500;;;;;;;;;;;;;;;;;;
02/01/2006;0600;;;;;;;;;;;;;;;;;;
02/01/2006;0700;;;;;;;;;;;;;;;;;;
02/01/2006;0800;;;;;;;;;;;;;;;;;;
