Campo,Valor,Porcentagem do Total de Focos
2010/01/04 - 2010/01/10,27,0.19%
2010/01/11 - 2010/01/17,8,0.06%
2010/01/18 - 2010/01/24,10,0.07%
2010/01/25 - 2010/01/31,14,0.10%
2010/02/01 - 2010/02/07,126,0.90%
2010/02/08 - 2010/02/14,16,0.11%
2010/02/15 - 2010/02/21,8,0.06%
2010/02/22 - 2010/02/28,3,0.02%
2010/03/01 - 2010/03/07,16,0.11%
2010/03/08 - 2010/03/14,129,0.93%
2010/03/15 - 2010/03/21,80,0.57%
2010/03/22 - 2010/03/28,16,0.11%
2010/03/29 - 2010/04/04,5,0.04%
2010/04/05 - 2010/04/11,35,0.25%
2010/04/12 - 2010/04/18,76,0.55%
2010/04/19 - 2010/04/25,43,0.31%
2010/04/26 - 2010/05/02,62,0.45%
2010/05/03 - 2010/05/09,19,0.14%
2010/05/10 - 2010/05/16,33,0.24%
2010/05/17 - 2010/05/23,22,0.16%
2010/05/24 - 2010/05/30,36,0.26%
2010/05/31 - 2010/06/06,38,0.27%
2010/06/07 - 2010/06/13,60,0.43%
2010/06/14 - 2010/06/20,176,1.26%
2010/06/21 - 2010/06/27,286,2.05%
2010/06/28 - 2010/07/04,223,1.60%
2010/07/05 - 2010/07/11,590,4.24%
2010/07/12 - 2010/07/18,79,0.57%
2010/07/19 - 2010/07/25,78,0.56%
2010/07/26 - 2010/08/01,224,1.61%
2010/08/02 - 2010/08/08,191,1.37%
2010/08/09 - 2010/08/15,269,1.93%
2010/08/16 - 2010/08/22,699,5.02%
2010/08/23 - 2010/08/29,891,6.40%
2010/08/30 - 2010/09/05,327,2.35%
2010/09/06 - 2010/09/12,955,6.86%
2010/09/13 - 2010/09/19,1552,11.14%
2010/09/20 - 2010/09/26,1545,11.09%
2010/09/27 - 2010/10/03,208,1.49%
2010/10/04 - 2010/10/10,223,1.60%
2010/10/11 - 2010/10/17,739,5.30%
2010/10/18 - 2010/10/24,349,2.51%
2010/10/25 - 2010/10/31,576,4.13%
2010/11/01 - 2010/11/07,157,1.13%
2010/11/08 - 2010/11/14,169,1.21%
2010/11/15 - 2010/11/21,288,2.07%
2010/11/22 - 2010/11/28,394,2.83%
2010/11/29 - 2010/12/05,225,1.62%
2010/12/06 - 2010/12/12,1017,7.30%
2010/12/13 - 2010/12/19,259,1.86%
2010/12/20 - 2010/12/26,333,2.39%
2010/12/27 - 2011/01/02,27,0.19%
