Campo,Valor,Porcentagem do Total de Focos
2019/12/30 - 2020/01/05,480,0.21%
2020/01/06 - 2020/01/12,437,0.19%
2020/01/13 - 2020/01/19,564,0.24%
2020/01/20 - 2020/01/26,1353,0.59%
2020/01/27 - 2020/02/02,1794,0.78%
2020/02/03 - 2020/02/09,149,0.06%
2020/02/10 - 2020/02/16,274,0.12%
2020/02/17 - 2020/02/23,639,0.28%
2020/02/24 - 2020/03/01,445,0.19%
2020/03/02 - 2020/03/08,1968,0.85%
2020/03/09 - 2020/03/15,8312,3.60%
2020/03/16 - 2020/03/22,2259,0.98%
2020/03/23 - 2020/03/29,1440,0.62%
2020/03/30 - 2020/04/05,2968,1.29%
2020/04/06 - 2020/04/12,2381,1.03%
2020/04/13 - 2020/04/19,2647,1.15%
2020/04/20 - 2020/04/26,5094,2.21%
2020/04/27 - 2020/05/03,6448,2.80%
2020/05/04 - 2020/05/10,980,0.42%
2020/05/11 - 2020/05/17,297,0.13%
2020/05/18 - 2020/05/24,413,0.18%
2020/05/25 - 2020/05/31,1038,0.45%
2020/06/01 - 2020/06/07,31,0.01%
2020/06/08 - 2020/06/14,946,0.41%
2020/06/15 - 2020/06/21,2538,1.10%
2020/06/22 - 2020/06/28,1360,0.59%
2020/06/29 - 2020/07/05,2075,0.90%
2020/07/06 - 2020/07/12,1389,0.60%
2020/07/13 - 2020/07/19,5783,2.51%
2020/07/20 - 2020/07/26,14523,6.30%
2020/07/27 - 2020/08/02,8894,3.86%
2020/08/03 - 2020/08/09,16461,7.14%
2020/08/10 - 2020/08/16,9899,4.29%
2020/08/17 - 2020/08/23,964,0.42%
2020/08/24 - 2020/08/30,6282,2.72%
2020/08/31 - 2020/09/06,5198,2.25%
2020/09/07 - 2020/09/13,8394,3.64%
2020/09/14 - 2020/09/20,4828,2.09%
2020/09/21 - 2020/09/27,18417,7.99%
2020/09/28 - 2020/10/04,41874,18.16%
2020/10/05 - 2020/10/11,22948,9.95%
2020/10/12 - 2020/10/18,7655,3.32%
2020/10/19 - 2020/10/25,887,0.38%
2020/10/26 - 2020/11/01,389,0.17%
2020/11/02 - 2020/11/08,3629,1.57%
2020/11/09 - 2020/11/15,1024,0.44%
2020/11/16 - 2020/11/22,597,0.26%
2020/11/23 - 2020/11/29,1150,0.50%
2020/11/30 - 2020/12/06,98,0.04%
