Campo,Valor,Porcentagem do Total de Focos
2018/12/31 - 2019/01/06,130,0.07%
2019/01/07 - 2019/01/13,377,0.20%
2019/01/14 - 2019/01/20,1898,1.01%
2019/01/21 - 2019/01/27,2052,1.10%
2019/01/28 - 2019/02/03,4819,2.58%
2019/02/04 - 2019/02/10,1980,1.06%
2019/02/11 - 2019/02/17,1049,0.56%
2019/02/18 - 2019/02/24,1047,0.56%
2019/02/25 - 2019/03/03,395,0.21%
2019/03/04 - 2019/03/10,442,0.24%
2019/03/11 - 2019/03/17,87,0.05%
2019/03/18 - 2019/03/24,100,0.05%
2019/03/25 - 2019/03/31,793,0.42%
2019/04/01 - 2019/04/07,11,0.01%
2019/04/08 - 2019/04/14,518,0.28%
2019/04/15 - 2019/04/21,441,0.24%
2019/04/22 - 2019/04/28,30,0.02%
2019/04/29 - 2019/05/05,40,0.02%
2019/05/06 - 2019/05/12,194,0.10%
2019/05/13 - 2019/05/19,91,0.05%
2019/05/20 - 2019/05/26,449,0.24%
2019/05/27 - 2019/06/02,273,0.15%
2019/06/03 - 2019/06/09,308,0.16%
2019/06/10 - 2019/06/16,802,0.43%
2019/06/17 - 2019/06/23,536,0.29%
2019/06/24 - 2019/06/30,1558,0.83%
2019/07/01 - 2019/07/07,952,0.51%
2019/07/08 - 2019/07/14,1436,0.77%
2019/07/15 - 2019/07/21,579,0.31%
2019/07/22 - 2019/07/28,1553,0.83%
2019/07/29 - 2019/08/04,3586,1.92%
2019/08/05 - 2019/08/11,4351,2.33%
2019/08/12 - 2019/08/18,9160,4.90%
2019/08/19 - 2019/08/25,12458,6.66%
2019/08/26 - 2019/09/01,3352,1.79%
2019/09/02 - 2019/09/08,5643,3.02%
2019/09/09 - 2019/09/15,23691,12.66%
2019/09/16 - 2019/09/22,9849,5.26%
2019/09/23 - 2019/09/29,6033,3.22%
2019/09/30 - 2019/10/06,4546,2.43%
2019/10/07 - 2019/10/13,3637,1.94%
2019/10/14 - 2019/10/20,3052,1.63%
2019/10/21 - 2019/10/27,15245,8.15%
2019/10/28 - 2019/11/03,36113,19.30%
2019/11/04 - 2019/11/10,13556,7.25%
2019/11/11 - 2019/11/17,1091,0.58%
2019/11/18 - 2019/11/24,2878,1.54%
2019/11/25 - 2019/12/01,2211,1.18%
2019/12/02 - 2019/12/08,507,0.27%
2019/12/09 - 2019/12/15,278,0.15%
2019/12/16 - 2019/12/22,181,0.10%
2019/12/23 - 2019/12/29,496,0.27%
2019/12/30 - 2020/01/05,233,0.12%
