Campo,Valor,Porcentagem do Total de Focos
2006/01/09 - 2006/01/15,3,0.05%
2006/01/16 - 2006/01/22,22,0.37%
2006/01/23 - 2006/01/29,9,0.15%
2006/01/30 - 2006/02/05,27,0.45%
2006/02/06 - 2006/02/12,3,0.05%
2006/02/13 - 2006/02/19,7,0.12%
2006/02/20 - 2006/02/26,82,1.37%
2006/02/27 - 2006/03/05,41,0.69%
2006/03/06 - 2006/03/12,16,0.27%
2006/03/13 - 2006/03/19,29,0.49%
2006/03/27 - 2006/04/02,1,0.02%
2006/04/10 - 2006/04/16,4,0.07%
2006/04/17 - 2006/04/23,6,0.10%
2006/04/24 - 2006/04/30,27,0.45%
2006/05/01 - 2006/05/07,51,0.86%
2006/05/08 - 2006/05/14,136,2.28%
2006/05/15 - 2006/05/21,56,0.94%
2006/05/22 - 2006/05/28,9,0.15%
2006/05/29 - 2006/06/04,22,0.37%
2006/06/05 - 2006/06/11,26,0.44%
2006/06/12 - 2006/06/18,73,1.22%
2006/06/19 - 2006/06/25,65,1.09%
2006/06/26 - 2006/07/02,47,0.79%
2006/07/03 - 2006/07/09,88,1.48%
2006/07/10 - 2006/07/16,115,1.93%
2006/07/17 - 2006/07/23,186,3.12%
2006/07/24 - 2006/07/30,268,4.49%
2006/07/31 - 2006/08/06,168,2.82%
2006/08/07 - 2006/08/13,368,6.17%
2006/08/14 - 2006/08/20,132,2.21%
2006/08/21 - 2006/08/27,679,11.38%
2006/08/28 - 2006/09/03,243,4.07%
2006/09/04 - 2006/09/10,653,10.95%
2006/09/11 - 2006/09/17,333,5.58%
2006/09/18 - 2006/09/24,289,4.85%
2006/09/25 - 2006/10/01,320,5.37%
2006/10/02 - 2006/10/08,41,0.69%
2006/10/09 - 2006/10/15,198,3.32%
2006/10/16 - 2006/10/22,161,2.70%
2006/10/23 - 2006/10/29,96,1.61%
2006/10/30 - 2006/11/05,97,1.63%
2006/11/06 - 2006/11/12,31,0.52%
2006/11/13 - 2006/11/19,284,4.76%
2006/11/20 - 2006/11/26,412,6.91%
2006/11/27 - 2006/12/03,6,0.10%
2006/12/11 - 2006/12/17,2,0.03%
2006/12/18 - 2006/12/24,15,0.25%
2006/12/25 - 2006/12/31,17,0.29%
