Campo,Valor,Porcentagem do Total de Focos
2018/01/01 - 2018/01/07,9,0.07%
2018/01/08 - 2018/01/14,2,0.02%
2018/01/15 - 2018/01/21,42,0.33%
2018/01/22 - 2018/01/28,68,0.54%
2018/01/29 - 2018/02/04,9,0.07%
2018/02/05 - 2018/02/11,33,0.26%
2018/02/12 - 2018/02/18,16,0.13%
2018/02/19 - 2018/02/25,5,0.04%
2018/02/26 - 2018/03/04,11,0.09%
2018/03/05 - 2018/03/11,23,0.18%
2018/03/12 - 2018/03/18,7,0.06%
2018/03/19 - 2018/03/25,12,0.10%
2018/03/26 - 2018/04/01,1,0.01%
2018/04/02 - 2018/04/08,25,0.20%
2018/04/09 - 2018/04/15,24,0.19%
2018/04/16 - 2018/04/22,6,0.05%
2018/04/23 - 2018/04/29,76,0.60%
2018/04/30 - 2018/05/06,31,0.25%
2018/05/07 - 2018/05/13,11,0.09%
2018/05/14 - 2018/05/20,11,0.09%
2018/05/21 - 2018/05/27,85,0.67%
2018/05/28 - 2018/06/03,58,0.46%
2018/06/04 - 2018/06/10,8,0.06%
2018/06/11 - 2018/06/17,11,0.09%
2018/06/18 - 2018/06/24,82,0.65%
2018/06/25 - 2018/07/01,90,0.71%
2018/07/02 - 2018/07/08,207,1.64%
2018/07/09 - 2018/07/15,214,1.70%
2018/07/16 - 2018/07/22,384,3.04%
2018/07/23 - 2018/07/29,301,2.38%
2018/07/30 - 2018/08/05,105,0.83%
2018/08/06 - 2018/08/12,157,1.24%
2018/08/13 - 2018/08/19,247,1.96%
2018/08/20 - 2018/08/26,338,2.68%
2018/08/27 - 2018/09/02,1539,12.19%
2018/09/03 - 2018/09/09,1766,13.99%
2018/09/10 - 2018/09/16,1765,13.98%
2018/09/17 - 2018/09/23,1193,9.45%
2018/09/24 - 2018/09/30,333,2.64%
2018/10/01 - 2018/10/07,361,2.86%
2018/10/08 - 2018/10/14,301,2.38%
2018/10/15 - 2018/10/21,375,2.97%
2018/10/22 - 2018/10/28,13,0.10%
2018/10/29 - 2018/11/04,110,0.87%
2018/11/05 - 2018/11/11,39,0.31%
2018/11/12 - 2018/11/18,40,0.32%
2018/11/19 - 2018/11/25,5,0.04%
2018/11/26 - 2018/12/02,30,0.24%
2018/12/03 - 2018/12/09,471,3.73%
2018/12/10 - 2018/12/16,646,5.12%
2018/12/17 - 2018/12/23,899,7.12%
2018/12/24 - 2018/12/30,27,0.21%
