Campo,Valor,Porcentagem do Total de Focos
2012/12/31 - 2013/01/06,142,0.60%
2013/01/07 - 2013/01/13,325,1.38%
2013/01/14 - 2013/01/20,225,0.96%
2013/01/21 - 2013/01/27,318,1.35%
2013/01/28 - 2013/02/03,1082,4.59%
2013/02/04 - 2013/02/10,198,0.84%
2013/02/11 - 2013/02/17,106,0.45%
2013/02/18 - 2013/02/24,63,0.27%
2013/02/25 - 2013/03/03,58,0.25%
2013/03/04 - 2013/03/10,500,2.12%
2013/03/11 - 2013/03/17,702,2.98%
2013/03/18 - 2013/03/24,19,0.08%
2013/03/25 - 2013/03/31,122,0.52%
2013/04/01 - 2013/04/07,165,0.70%
2013/04/08 - 2013/04/14,22,0.09%
2013/04/15 - 2013/04/21,100,0.42%
2013/04/22 - 2013/04/28,70,0.30%
2013/04/29 - 2013/05/05,505,2.14%
2013/05/06 - 2013/05/12,109,0.46%
2013/05/13 - 2013/05/19,65,0.28%
2013/05/20 - 2013/05/26,1,0.00%
2013/05/27 - 2013/06/02,46,0.20%
2013/06/03 - 2013/06/09,37,0.16%
2013/06/10 - 2013/06/16,16,0.07%
2013/06/17 - 2013/06/23,24,0.10%
2013/06/24 - 2013/06/30,12,0.05%
2013/07/01 - 2013/07/07,22,0.09%
2013/07/08 - 2013/07/14,81,0.34%
2013/07/15 - 2013/07/21,64,0.27%
2013/07/22 - 2013/07/28,171,0.73%
2013/07/29 - 2013/08/04,667,2.83%
2013/08/05 - 2013/08/11,371,1.57%
2013/08/12 - 2013/08/18,465,1.97%
2013/08/19 - 2013/08/25,489,2.08%
2013/08/26 - 2013/09/01,683,2.90%
2013/09/02 - 2013/09/08,614,2.61%
2013/09/09 - 2013/09/15,1445,6.13%
2013/09/16 - 2013/09/22,1777,7.54%
2013/09/23 - 2013/09/29,3213,13.64%
2013/09/30 - 2013/10/06,285,1.21%
2013/10/07 - 2013/10/13,2007,8.52%
2013/10/14 - 2013/10/20,393,1.67%
2013/10/21 - 2013/10/27,726,3.08%
2013/10/28 - 2013/11/03,225,0.96%
2013/11/04 - 2013/11/10,1104,4.69%
2013/11/11 - 2013/11/17,1314,5.58%
2013/11/18 - 2013/11/24,298,1.27%
2013/11/25 - 2013/12/01,736,3.12%
2013/12/02 - 2013/12/08,1027,4.36%
2013/12/09 - 2013/12/15,143,0.61%
2013/12/16 - 2013/12/22,92,0.39%
2013/12/23 - 2013/12/29,113,0.48%
