Campo,Valor,Porcentagem do Total de Focos
2007/01/08 - 2007/01/14,9,0.05%
2007/02/12 - 2007/02/18,5,0.03%
2007/02/19 - 2007/02/25,12,0.06%
2007/02/26 - 2007/03/04,45,0.24%
2007/03/05 - 2007/03/11,12,0.06%
2007/03/12 - 2007/03/18,1,0.01%
2007/03/19 - 2007/03/25,11,0.06%
2007/03/26 - 2007/04/01,15,0.08%
2007/04/02 - 2007/04/08,30,0.16%
2007/04/09 - 2007/04/15,32,0.17%
2007/04/16 - 2007/04/22,29,0.15%
2007/04/23 - 2007/04/29,39,0.21%
2007/04/30 - 2007/05/06,81,0.43%
2007/05/07 - 2007/05/13,39,0.21%
2007/05/14 - 2007/05/20,22,0.12%
2007/05/21 - 2007/05/27,13,0.07%
2007/05/28 - 2007/06/03,62,0.33%
2007/06/04 - 2007/06/10,98,0.52%
2007/06/11 - 2007/06/17,98,0.52%
2007/06/18 - 2007/06/24,133,0.71%
2007/06/25 - 2007/07/01,49,0.26%
2007/07/02 - 2007/07/08,183,0.98%
2007/07/09 - 2007/07/15,70,0.37%
2007/07/16 - 2007/07/22,129,0.69%
2007/07/23 - 2007/07/29,154,0.82%
2007/07/30 - 2007/08/05,235,1.25%
2007/08/06 - 2007/08/12,435,2.32%
2007/08/13 - 2007/08/19,1400,7.47%
2007/08/20 - 2007/08/26,995,5.31%
2007/08/27 - 2007/09/02,280,1.49%
2007/09/03 - 2007/09/09,2325,12.40%
2007/09/10 - 2007/09/16,3373,17.99%
2007/09/17 - 2007/09/23,2396,12.78%
2007/09/24 - 2007/09/30,2815,15.01%
2007/10/01 - 2007/10/07,1155,6.16%
2007/10/08 - 2007/10/14,439,2.34%
2007/10/15 - 2007/10/21,230,1.23%
2007/10/22 - 2007/10/28,168,0.90%
2007/10/29 - 2007/11/04,449,2.39%
2007/11/05 - 2007/11/11,180,0.96%
2007/11/12 - 2007/11/18,156,0.83%
2007/11/19 - 2007/11/25,144,0.77%
2007/11/26 - 2007/12/02,85,0.45%
2007/12/03 - 2007/12/09,12,0.06%
2007/12/10 - 2007/12/16,1,0.01%
2007/12/17 - 2007/12/23,45,0.24%
2007/12/24 - 2007/12/30,59,0.31%
2007/12/31 - 2008/01/06,2,0.01%
