Campo,Valor,Porcentagem do Total de Focos
2007/12/31 - 2008/01/06,23,0.33%
2008/01/07 - 2008/01/13,15,0.22%
2008/01/14 - 2008/01/20,7,0.10%
2008/01/28 - 2008/02/03,2,0.03%
2008/02/04 - 2008/02/10,26,0.38%
2008/02/11 - 2008/02/17,11,0.16%
2008/02/18 - 2008/02/24,2,0.03%
2008/02/25 - 2008/03/02,2,0.03%
2008/03/03 - 2008/03/09,8,0.12%
2008/03/10 - 2008/03/16,4,0.06%
2008/03/17 - 2008/03/23,14,0.20%
2008/03/24 - 2008/03/30,13,0.19%
2008/03/31 - 2008/04/06,4,0.06%
2008/04/07 - 2008/04/13,26,0.38%
2008/04/14 - 2008/04/20,10,0.14%
2008/04/21 - 2008/04/27,35,0.51%
2008/04/28 - 2008/05/04,2,0.03%
2008/05/05 - 2008/05/11,15,0.22%
2008/05/12 - 2008/05/18,6,0.09%
2008/05/19 - 2008/05/25,34,0.49%
2008/05/26 - 2008/06/01,15,0.22%
2008/06/02 - 2008/06/08,18,0.26%
2008/06/09 - 2008/06/15,10,0.14%
2008/06/16 - 2008/06/22,12,0.17%
2008/06/23 - 2008/06/29,21,0.30%
2008/06/30 - 2008/07/06,56,0.81%
2008/07/07 - 2008/07/13,68,0.98%
2008/07/14 - 2008/07/20,79,1.14%
2008/07/21 - 2008/07/27,30,0.43%
2008/07/28 - 2008/08/03,83,1.20%
2008/08/04 - 2008/08/10,34,0.49%
2008/08/11 - 2008/08/17,169,2.45%
2008/08/18 - 2008/08/24,140,2.03%
2008/08/25 - 2008/08/31,438,6.34%
2008/09/01 - 2008/09/07,641,9.28%
2008/09/08 - 2008/09/14,213,3.08%
2008/09/15 - 2008/09/21,804,11.64%
2008/09/22 - 2008/09/28,786,11.38%
2008/09/29 - 2008/10/05,369,5.34%
2008/10/06 - 2008/10/12,122,1.77%
2008/10/13 - 2008/10/19,187,2.71%
2008/10/20 - 2008/10/26,214,3.10%
2008/10/27 - 2008/11/02,189,2.74%
2008/11/03 - 2008/11/09,32,0.46%
2008/11/10 - 2008/11/16,159,2.30%
2008/11/17 - 2008/11/23,246,3.56%
2008/11/24 - 2008/11/30,206,2.98%
2008/12/01 - 2008/12/07,547,7.92%
2008/12/08 - 2008/12/14,429,6.21%
2008/12/15 - 2008/12/21,151,2.19%
2008/12/22 - 2008/12/28,165,2.39%
2008/12/29 - 2009/01/04,14,0.20%
