Campo,Valor,Porcentagem do Total de Focos
2005/01/03 - 2005/01/09,4,0.01%
2005/01/10 - 2005/01/16,4,0.01%
2005/01/17 - 2005/01/23,4,0.01%
2005/01/24 - 2005/01/30,3,0.01%
2005/01/31 - 2005/02/06,3,0.01%
2005/02/07 - 2005/02/13,117,0.41%
2005/02/14 - 2005/02/20,90,0.32%
2005/02/21 - 2005/02/27,53,0.19%
2005/02/28 - 2005/03/06,70,0.25%
2005/03/07 - 2005/03/13,110,0.39%
2005/03/14 - 2005/03/20,54,0.19%
2005/03/21 - 2005/03/27,14,0.05%
2005/03/28 - 2005/04/03,58,0.20%
2005/04/04 - 2005/04/10,163,0.57%
2005/04/11 - 2005/04/17,156,0.55%
2005/04/18 - 2005/04/24,97,0.34%
2005/04/25 - 2005/05/01,36,0.13%
2005/05/02 - 2005/05/08,249,0.88%
2005/05/09 - 2005/05/15,334,1.18%
2005/05/16 - 2005/05/22,228,0.80%
2005/05/23 - 2005/05/29,83,0.29%
2005/05/30 - 2005/06/05,132,0.47%
2005/06/06 - 2005/06/12,283,1.00%
2005/06/13 - 2005/06/19,229,0.81%
2005/06/20 - 2005/06/26,122,0.43%
2005/06/27 - 2005/07/03,499,1.76%
2005/07/04 - 2005/07/10,231,0.81%
2005/07/11 - 2005/07/17,764,2.69%
2005/07/18 - 2005/07/24,125,0.44%
2005/07/25 - 2005/07/31,1275,4.49%
2005/08/01 - 2005/08/07,3449,12.16%
2005/08/08 - 2005/08/14,2194,7.73%
2005/08/15 - 2005/08/21,3421,12.06%
2005/08/22 - 2005/08/28,3102,10.93%
2005/08/29 - 2005/09/04,2254,7.94%
2005/09/05 - 2005/09/11,2947,10.39%
2005/09/12 - 2005/09/18,627,2.21%
2005/09/19 - 2005/09/25,1840,6.49%
2005/09/26 - 2005/10/02,449,1.58%
2005/10/03 - 2005/10/09,717,2.53%
2005/10/10 - 2005/10/16,940,3.31%
2005/10/17 - 2005/10/23,37,0.13%
2005/10/24 - 2005/10/30,140,0.49%
2005/10/31 - 2005/11/06,145,0.51%
2005/11/07 - 2005/11/13,131,0.46%
2005/11/14 - 2005/11/20,183,0.65%
2005/11/21 - 2005/11/27,28,0.10%
2005/11/28 - 2005/12/04,22,0.08%
2005/12/05 - 2005/12/11,28,0.10%
2005/12/12 - 2005/12/18,54,0.19%
2005/12/19 - 2005/12/25,60,0.21%
2005/12/26 - 2006/01/01,13,0.05%
