Campo,Valor,Porcentagem do Total de Focos
2008/12/29 - 2009/01/04,10,0.06%
2009/01/05 - 2009/01/11,313,1.85%
2009/01/12 - 2009/01/18,474,2.79%
2009/01/19 - 2009/01/25,127,0.75%
2009/01/26 - 2009/02/01,47,0.28%
2009/02/02 - 2009/02/08,359,2.12%
2009/02/09 - 2009/02/15,40,0.24%
2009/02/16 - 2009/02/22,83,0.49%
2009/02/23 - 2009/03/01,24,0.14%
2009/03/02 - 2009/03/08,248,1.46%
2009/03/09 - 2009/03/15,37,0.22%
2009/03/16 - 2009/03/22,22,0.13%
2009/03/23 - 2009/03/29,4,0.02%
2009/03/30 - 2009/04/05,33,0.19%
2009/04/06 - 2009/04/12,112,0.66%
2009/04/13 - 2009/04/19,289,1.70%
2009/04/20 - 2009/04/26,411,2.42%
2009/04/27 - 2009/05/03,970,5.72%
2009/05/04 - 2009/05/10,349,2.06%
2009/05/11 - 2009/05/17,633,3.73%
2009/05/18 - 2009/05/24,873,5.15%
2009/05/25 - 2009/05/31,235,1.39%
2009/06/01 - 2009/06/07,170,1.00%
2009/06/08 - 2009/06/14,70,0.41%
2009/06/15 - 2009/06/21,231,1.36%
2009/06/22 - 2009/06/28,150,0.88%
2009/06/29 - 2009/07/05,308,1.82%
2009/07/06 - 2009/07/12,182,1.07%
2009/07/13 - 2009/07/19,223,1.31%
2009/07/20 - 2009/07/26,196,1.16%
2009/07/27 - 2009/08/02,58,0.34%
2009/08/03 - 2009/08/09,314,1.85%
2009/08/10 - 2009/08/16,892,5.26%
2009/08/17 - 2009/08/23,154,0.91%
2009/08/24 - 2009/08/30,328,1.93%
2009/08/31 - 2009/09/06,530,3.12%
2009/09/07 - 2009/09/13,335,1.98%
2009/09/14 - 2009/09/20,973,5.74%
2009/09/21 - 2009/09/27,1000,5.90%
2009/09/28 - 2009/10/04,1276,7.52%
2009/10/05 - 2009/10/11,1427,8.41%
2009/10/12 - 2009/10/18,809,4.77%
2009/10/19 - 2009/10/25,133,0.78%
2009/10/26 - 2009/11/01,319,1.88%
2009/11/02 - 2009/11/08,290,1.71%
2009/11/09 - 2009/11/15,239,1.41%
2009/11/16 - 2009/11/22,353,2.08%
2009/11/23 - 2009/11/29,142,0.84%
2009/11/30 - 2009/12/06,63,0.37%
2009/12/07 - 2009/12/13,4,0.02%
2009/12/14 - 2009/12/20,55,0.32%
2009/12/21 - 2009/12/27,40,0.24%
2009/12/28 - 2010/01/03,5,0.03%
