Campo,Valor,Porcentagem do Total de Focos
2010/12/27 - 2011/01/02,19,0.24%
2011/01/03 - 2011/01/09,145,1.80%
2011/01/10 - 2011/01/16,28,0.35%
2011/01/17 - 2011/01/23,2,0.02%
2011/01/24 - 2011/01/30,48,0.60%
2011/01/31 - 2011/02/06,43,0.53%
2011/02/07 - 2011/02/13,1,0.01%
2011/02/14 - 2011/02/20,1,0.01%
2011/02/21 - 2011/02/27,6,0.07%
2011/03/07 - 2011/03/13,1,0.01%
2011/03/21 - 2011/03/27,1,0.01%
2011/03/28 - 2011/04/03,4,0.05%
2011/04/04 - 2011/04/10,3,0.04%
2011/04/18 - 2011/04/24,2,0.02%
2011/04/25 - 2011/05/01,5,0.06%
2011/05/02 - 2011/05/08,3,0.04%
2011/05/09 - 2011/05/15,9,0.11%
2011/05/16 - 2011/05/22,12,0.15%
2011/05/23 - 2011/05/29,27,0.33%
2011/05/30 - 2011/06/05,23,0.29%
2011/06/06 - 2011/06/12,14,0.17%
2011/06/13 - 2011/06/19,22,0.27%
2011/06/20 - 2011/06/26,29,0.36%
2011/06/27 - 2011/07/03,4,0.05%
2011/07/04 - 2011/07/10,40,0.50%
2011/07/11 - 2011/07/17,37,0.46%
2011/07/18 - 2011/07/24,15,0.19%
2011/07/25 - 2011/07/31,48,0.60%
2011/08/01 - 2011/08/07,15,0.19%
2011/08/08 - 2011/08/14,66,0.82%
2011/08/15 - 2011/08/21,106,1.31%
2011/08/22 - 2011/08/28,59,0.73%
2011/08/29 - 2011/09/04,603,7.48%
2011/09/05 - 2011/09/11,175,2.17%
2011/09/12 - 2011/09/18,245,3.04%
2011/09/19 - 2011/09/25,167,2.07%
2011/09/26 - 2011/10/02,302,3.75%
2011/10/03 - 2011/10/09,201,2.49%
2011/10/10 - 2011/10/16,97,1.20%
2011/10/17 - 2011/10/23,181,2.24%
2011/10/24 - 2011/10/30,319,3.96%
2011/10/31 - 2011/11/06,511,6.34%
2011/11/07 - 2011/11/13,350,4.34%
2011/11/14 - 2011/11/20,330,4.09%
2011/11/21 - 2011/11/27,450,5.58%
2011/11/28 - 2011/12/04,692,8.58%
2011/12/05 - 2011/12/11,251,3.11%
2011/12/12 - 2011/12/18,685,8.49%
2011/12/19 - 2011/12/25,1166,14.46%
2011/12/26 - 2012/01/01,501,6.21%
