Campo,Valor,Porcentagem do Total de Focos
2016/12/26 - 2017/01/01,87,0.18%
2017/01/02 - 2017/01/08,899,1.90%
2017/01/09 - 2017/01/15,1755,3.71%
2017/01/16 - 2017/01/22,880,1.86%
2017/01/23 - 2017/01/29,371,0.78%
2017/01/30 - 2017/02/05,468,0.99%
2017/02/06 - 2017/02/12,189,0.40%
2017/02/13 - 2017/02/19,281,0.59%
2017/02/20 - 2017/02/26,94,0.20%
2017/02/27 - 2017/03/05,110,0.23%
2017/03/06 - 2017/03/12,401,0.85%
2017/03/13 - 2017/03/19,164,0.35%
2017/03/20 - 2017/03/26,59,0.12%
2017/03/27 - 2017/04/02,88,0.19%
2017/04/03 - 2017/04/09,16,0.03%
2017/04/10 - 2017/04/16,113,0.24%
2017/04/17 - 2017/04/23,18,0.04%
2017/04/24 - 2017/04/30,125,0.26%
2017/05/01 - 2017/05/07,92,0.19%
2017/05/08 - 2017/05/14,83,0.18%
2017/05/15 - 2017/05/21,28,0.06%
2017/05/22 - 2017/05/28,25,0.05%
2017/05/29 - 2017/06/04,40,0.08%
2017/06/05 - 2017/06/11,53,0.11%
2017/06/12 - 2017/06/18,81,0.17%
2017/06/19 - 2017/06/25,100,0.21%
2017/06/26 - 2017/07/02,222,0.47%
2017/07/03 - 2017/07/09,1037,2.19%
2017/07/10 - 2017/07/16,887,1.87%
2017/07/17 - 2017/07/23,430,0.91%
2017/07/24 - 2017/07/30,1939,4.10%
2017/07/31 - 2017/08/06,1311,2.77%
2017/08/07 - 2017/08/13,3929,8.30%
2017/08/14 - 2017/08/20,118,0.25%
2017/08/21 - 2017/08/27,1651,3.49%
2017/08/28 - 2017/09/03,4312,9.11%
2017/09/04 - 2017/09/10,5177,10.94%
2017/09/11 - 2017/09/17,4116,8.70%
2017/09/18 - 2017/09/24,6529,13.80%
2017/09/25 - 2017/10/01,2054,4.34%
2017/10/02 - 2017/10/08,1148,2.43%
2017/10/09 - 2017/10/15,1782,3.77%
2017/10/16 - 2017/10/22,1830,3.87%
2017/10/23 - 2017/10/29,341,0.72%
2017/10/30 - 2017/11/05,357,0.75%
2017/11/06 - 2017/11/12,101,0.21%
2017/11/13 - 2017/11/19,989,2.09%
2017/11/20 - 2017/11/26,164,0.35%
2017/11/27 - 2017/12/03,33,0.07%
2017/12/04 - 2017/12/10,6,0.01%
2017/12/11 - 2017/12/17,200,0.42%
2017/12/18 - 2017/12/24,28,0.06%
2017/12/25 - 2017/12/31,11,0.02%
