Campo,Valor,Porcentagem do Total de Focos
2015/12/28 - 2016/01/03,73,0.15%
2016/01/04 - 2016/01/10,39,0.08%
2016/01/11 - 2016/01/17,4,0.01%
2016/01/18 - 2016/01/24,132,0.27%
2016/01/25 - 2016/01/31,52,0.10%
2016/02/01 - 2016/02/07,21,0.04%
2016/02/08 - 2016/02/14,51,0.10%
2016/02/15 - 2016/02/21,41,0.08%
2016/02/22 - 2016/02/28,5,0.01%
2016/02/29 - 2016/03/06,4,0.01%
2016/03/07 - 2016/03/13,54,0.11%
2016/03/14 - 2016/03/20,71,0.14%
2016/03/21 - 2016/03/27,14,0.03%
2016/03/28 - 2016/04/03,57,0.11%
2016/04/04 - 2016/04/10,86,0.17%
2016/04/11 - 2016/04/17,18,0.04%
2016/04/18 - 2016/04/24,61,0.12%
2016/04/25 - 2016/05/01,35,0.07%
2016/05/02 - 2016/05/08,153,0.31%
2016/05/09 - 2016/05/15,38,0.08%
2016/05/23 - 2016/05/29,45,0.09%
2016/05/30 - 2016/06/05,18,0.04%
2016/06/06 - 2016/06/12,51,0.10%
2016/06/13 - 2016/06/19,210,0.42%
2016/06/20 - 2016/06/26,131,0.26%
2016/06/27 - 2016/07/03,440,0.89%
2016/07/04 - 2016/07/10,439,0.89%
2016/07/11 - 2016/07/17,519,1.05%
2016/07/18 - 2016/07/24,960,1.94%
2016/07/25 - 2016/07/31,1527,3.08%
2016/08/01 - 2016/08/07,2233,4.50%
2016/08/08 - 2016/08/14,977,1.97%
2016/08/15 - 2016/08/21,1310,2.64%
2016/08/22 - 2016/08/28,3108,6.27%
2016/08/29 - 2016/09/04,291,0.59%
2016/09/05 - 2016/09/11,1558,3.14%
2016/09/12 - 2016/09/18,8843,17.84%
2016/09/19 - 2016/09/25,4745,9.57%
2016/09/26 - 2016/10/02,6738,13.59%
2016/10/03 - 2016/10/09,729,1.47%
2016/10/10 - 2016/10/16,2554,5.15%
2016/10/17 - 2016/10/23,4730,9.54%
2016/10/24 - 2016/10/30,2974,6.00%
2016/10/31 - 2016/11/06,1046,2.11%
2016/11/07 - 2016/11/13,469,0.95%
2016/11/14 - 2016/11/20,388,0.78%
2016/11/21 - 2016/11/27,569,1.15%
2016/11/28 - 2016/12/04,182,0.37%
2016/12/05 - 2016/12/11,383,0.77%
2016/12/12 - 2016/12/18,96,0.19%
2016/12/19 - 2016/12/25,106,0.21%
2016/12/26 - 2017/01/01,199,0.40%
